,canny_mean,canny_var,lapl_mean,lapl_var,image_mean,image_var,class,file_name,target_location
0,0.47129631,119.95843889999999,-0.000955582,32.14403824,169.7584229,1053.143289,dust,ESP_011492_1260_RED.NOMAP.browse-Block-2.jpg,114921260
1,0.08560180699999999,21.82113302,9.059999999999999e-05,26.65913867,163.94496819999998,387.12215939999993,dust,ESP_011492_1260_RED.NOMAP.browse-Block-3.jpg,114921260
2,0.06389577,16.28933863,0.000134337,27.41348607,193.38103180000002,483.03357710000006,dust,ESP_011492_1260_RED.NOMAP.browse-Block-7.jpg,114921260
3,0.028911014,7.3714726520000005,0.00045064800000000005,26.85896988,146.07031919999997,749.2503952999999,dust,ESP_011492_1260_RED.NOMAP.browse-Block-8.jpg,114921260
4,0.0,0.0,-0.002283096,3.692829642,196.7210073,1060.959619,dust,ESP_012326_2125_RED.NOMAP.browse-Block-1.jpg,123262125
5,0.0,0.0,-0.00193119,3.08727559,196.5690804,1099.934721,dust,ESP_012326_2125_RED.NOMAP.browse-Block-2.jpg,123262125
6,0.0,0.0,2.48e-05,4.367063522,107.35622120000001,640.3293643,dust,ESP_012326_2125_RED.NOMAP.browse-Block-6.jpg,123262125
7,0.0,0.0,8.190000000000001e-05,5.629039627,107.35583270000001,1219.5559779999999,dust,ESP_012326_2125_RED.NOMAP.browse-Block-8.jpg,123262125
8,1.57820122,399.95059189999995,-0.00034489300000000003,158.59654519999998,192.5768397,523.5656353,dust,ESP_012465_1560_RED.NOMAP.browse-Block-9.jpg,124651560
9,0.0,0.0,-0.000312805,47.8756732,171.163414,334.51289049999997,dust,ESP_012466_1670_RED.NOMAP.browse-Block-4.jpg,124661670
10,0.075387955,19.21824511,-0.011254311000000001,252.74183480000002,183.98037150000002,396.3353119,dust,ESP_012552_1220_RED.NOMAP.browse-Block-1.jpg,125521220
11,0.008511543,2.170371088,-0.000669479,253.9408469,133.8179817,416.2163086,dust,ESP_012552_1220_RED.NOMAP.browse-Block-3.jpg,125521220
12,0.003647804,0.93017678,-0.001832962,266.9921365,137.018713,1414.1485300000002,dust,ESP_012552_1220_RED.NOMAP.browse-Block-4.jpg,125521220
13,0.001702309,0.434085809,-0.001074791,252.57529619999997,87.24184704,655.1885317000001,dust,ESP_012552_1220_RED.NOMAP.browse-Block-5.jpg,125521220
14,0.11405468,29.070934899999997,-0.000673294,270.7864013,55.29584312,277.4213403,dust,ESP_012552_1220_RED.NOMAP.browse-Block-6.jpg,125521220
15,0.038871951,9.910836532000001,-0.0019559829999999997,308.1497189,55.81989234,452.80030610000006,dust,ESP_012552_1220_RED.NOMAP.browse-Block-7.jpg,125521220
16,0.0,0.0,-0.000405869,94.74253985,132.3680974,194.60388600000002,dust,ESP_012564_1105_RED.NOMAP.browse-Block-19.jpg,125641105
17,0.0,0.0,0.00024104400000000002,92.47516477,169.3375505,110.2509977,dust,ESP_012564_1105_RED.NOMAP.browse-Block-20.jpg,125641105
18,0.0,0.0,-0.002454758,51.25333183,76.75378418,513.6572752000001,dust,ESP_012593_1530_RED.NOMAP.browse-Block-1.jpg,125931530
19,0.015062881,3.840807789,0.000302973,57.89415578,176.69291830000003,469.213358,dust,ESP_012593_1530_RED.NOMAP.browse-Block-10.jpg,125931530
20,0.0,0.0,-0.002301216,50.33737893,61.37817287,495.10616610000005,dust,ESP_012593_1530_RED.NOMAP.browse-Block-2.jpg,125931530
21,0.0,0.0,0.000195503,50.95186516,89.75768089,519.8679,dust,ESP_012593_1530_RED.NOMAP.browse-Block-3.jpg,125931530
22,0.0,0.0,-0.000407219,51.42659838,85.06056213,533.3637428999999,dust,ESP_012593_1530_RED.NOMAP.browse-Block-4.jpg,125931530
23,0.0,0.0,0.000138283,52.64956949,159.5525513,357.3370878,dust,ESP_012593_1530_RED.NOMAP.browse-Block-5.jpg,125931530
24,0.0,0.0,0.0005197530000000001,51.12414047,160.76028159999998,832.8705546,dust,ESP_012593_1530_RED.NOMAP.browse-Block-6.jpg,125931530
25,0.0,0.0,-0.000376701,53.1073998,172.8607035,572.8222017,dust,ESP_012593_1530_RED.NOMAP.browse-Block-7.jpg,125931530
26,0.0,0.0,0.00028801,51.91690818,189.38072590000002,378.5194002,dust,ESP_012593_1530_RED.NOMAP.browse-Block-8.jpg,125931530
27,0.0,0.0,5.5299999999999996e-05,60.89835556,168.45324499999998,485.7013715,dust,ESP_012593_1530_RED.NOMAP.browse-Block-9.jpg,125931530
